id,posicion,altura,peso,goals,successful_passes_opposition_half,successful_passes_own_half,successful_open_play_passes,times_tackled,open_play_passes,headed_goals,successful_long_passes,total_successful_passes_excl_crosses_corners,forward_passes,successful_dribbles,total_fouls_won,total_fouls_conceded,backward_passes,through_balls,offsides,corners_won,yellow_cards,goals_from_inside_box,attempts_from_set_pieces,goal_assists,penalty_goals_conceded,foul_attempted_tackle,successful_layoffs,aerial_duels,penalty_goals,total_passes,shots_off_target_inc_woodwork,successful_short_passes,key_passes_attempt_assists,duels_won,blocked_shots,total_touches_in_opposition_box,total_clearances,goals_conceded_inside_box,hit_woodwork,total_shots,ground_duels_won,total_losses_of_possession,shots_on_target_inc_goals,goals_from_outside_box,recoveries,aerial_duels_won,blocks,goals_conceded_outside_box,touches,goals_conceded,total_tackles,clean_sheets,overruns,ground_duels,duels_lost,tackles_won,handballs_conceded,duels,successful_crosses_open_play,foul_won_penalty,throw_ins_to_own_player,successful_crosses_corners,straight_red_cards,interceptions,corners_taken_incl_short_corners,total_red_cards,successful_launches,penalties_conceded,red_cards_2nd_yellow,successful_corners_into_box,saves_made,penalties_faced
5,190,75,0.6040268456375839,6.644295302013424,2.1518456375838926,8.078859060402683,1.8875838926174497,15.213926174496644,0.15100671140939598,0.037751677852348994,8.68288590604027,6.078020134228188,0.3775167785234899,0.9815436241610738,1.4345637583892619,3.0578859060402683,0.037751677852348994,0.9437919463087249,0.6795302013422819,0.15100671140939598,0.5662751677852349,0.0,0.07550335570469799,0.037751677852348994,1.0192953020134228,1.0192953020134228,10.796979865771812,0.11325503355704697,15.817953020134228,0.9437919463087249,8.645134228187919,0.3775167785234899,8.041107382550337,0.6417785234899329,5.927013422818791,0.6795302013422819,1.3968120805369129,0.07550335570469799,2.1518456375838926,1.9253355704697988,12.307046979865772,1.2080536912751678,0.037751677852348994,2.0008389261744965,6.115771812080537,0.18875838926174496,0.07550335570469799,29.635067114093957,1.4723154362416109,0.7550335570469798,0.07550335570469799,0.07550335570469799,5.3607382550335565,8.116610738255034,0.5662751677852349,0.22651006711409394,16.157718120805367,0.11325503355704697,0.11325503355704697,0.15100671140939598,0.11325503355704697,0.0,0.18875838926174496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null
6,176,73,0.582053354890865,23.027485852869845,13.168957154405822,33.1770412287793,1.3823767178658044,40.161681487469686,0.07275666936135812,1.9644300727566693,35.21422797089733,9.167340339531124,0.8003233629749394,0.8730800323362976,0.5456750202101859,11.204527081649152,0.4365400161681488,0.5092966855295068,0.6548100242522231,0.18189167340339532,0.582053354890865,0.1091350040420372,0.2182700080840744,0.03637833468067906,0.47291835084882783,1.8189167340339532,1.4187550525464834,0.14551333872271624,42.59902991107518,0.7275666936135813,33.24979789814066,1.3459983831851254,3.2740501212611153,0.8003233629749394,3.8924818108326598,0.6911883589329022,0.8003233629749394,0.07275666936135812,1.9280517380759903,2.764753435731609,13.751010509296686,1.2004850444624091,0.0,3.3831851253031524,0.5092966855295068,0.07275666936135812,0.2546483427647534,59.26030719482619,1.0549717057396928,1.0913500404203718,0.18189167340339532,0.07275666936135812,5.565885206143896,3.7105901374292647,0.618431689571544,0.07275666936135812,6.984640258690381,0.1091350040420372,0.0,0.1091350040420372,0.9822150363783346,0.0,0.36378334680679064,3.3831851253031524,0.0,0.0,0.0,0.0,0.7639450282942603,0.0,0.0,null
7,188,73,0.5636743215031316,3.1941544885177455,3.682672233820459,5.448851774530271,1.5407098121085594,9.394572025052192,0.2254697286012526,0.1127348643006263,6.876826722338205,2.5177453027139873,0.33820459290187893,0.8267223382045928,0.789144050104384,4.3215031315240084,0.03757828810020877,0.8267223382045928,0.2254697286012526,0.1503131524008351,0.5260960334029228,0.0,0.07515657620041755,0.1878914405010438,0.4509394572025052,0.7139874739039667,6.012526096033402,0.03757828810020877,10.822546972860126,1.2025052192066807,6.7640918580375775,0.2630480167014614,4.020876826722338,0.3006263048016702,4.208768267223382,0.9770354906054279,0.9018789144050104,0.1503131524008351,2.2922755741127347,1.4279749478079333,7.891440501043842,1.0897703549060542,0.03757828810020877,1.465553235908142,2.5929018789144047,0.03757828810020877,0.1878914405010438,21.832985386221296,1.0897703549060542,0.33820459290187893,0.1127348643006263,0.1503131524008351,3.945720250521921,5.937369519832985,0.2630480167014614,0.1127348643006263,9.958246346555324,0.0,0.0,0.1127348643006263,0.0,0.0,0.2630480167014614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null
8,176,73,0.7575757575757576,20.0,3.8383838383838382,22.87878787878788,6.363636363636363,29.393939393939394,0.05050505050505051,1.5656565656565657,23.585858585858585,5.0,3.1818181818181817,2.5252525252525255,1.2121212121212122,9.04040404040404,0.3535353535353536,0.4040404040404041,1.3131313131313131,0.3535353535353536,0.6565656565656566,0.0,0.2525252525252525,0.05050505050505051,0.9090909090909092,1.1616161616161615,0.4040404040404041,0.05050505050505051,30.1010101010101,1.1111111111111112,22.02020202020202,1.2626262626262628,6.666666666666666,0.8080808080808082,10.656565656565657,0.0,0.5555555555555556,0.0,3.0303030303030303,6.616161616161616,19.949494949494948,1.9191919191919191,0.10101010101010102,2.0707070707070705,0.05050505050505051,0.0,0.05050505050505051,58.43434343434343,0.6060606060606061,0.9090909090909092,0.15151515151515152,0.7575757575757576,14.595959595959597,8.333333333333332,0.6565656565656566,0.05050505050505051,15.0,0.2525252525252525,0.0,0.3535353535353536,0.2525252525252525,0.0,0.05050505050505051,0.2525252525252525,0.0,0.05050505050505051,0.0,0.0,0.0,0.0,0.0,null
9,182,74,0.6247107820453494,12.869042110134197,4.664507172605275,16.200832947709394,2.082369273484498,21.156871818602497,0.20823692734844979,1.2910689495603886,17.242017584451645,4.831096714484035,0.7496529384544192,1.3327163350300788,1.2910689495603886,4.789449329014345,0.0,0.5830633965756594,0.4581212401665895,0.08329477093937993,0.6247107820453494,0.0,0.04164738546968996,0.08329477093937993,0.8745950948634892,0.41647385469689957,5.164275798241555,0.16658954187875985,22.198056455344748,0.2915316982878297,15.950948634891253,0.7913003239241092,4.4562702452568255,0.5414160111059695,3.3734382230448867,0.6663581675150394,1.2494215640906987,0.08329477093937993,1.4160111059694587,2.3739009717723274,10.70337806571032,1.124479407681629,0.0,2.8736695974086066,2.082369273484498,0.0,0.16658954187875985,35.31698287829708,1.4160111059694587,0.3748264692272096,0.08329477093937993,0.08329477093937993,6.205460434983804,6.913465987968533,0.20823692734844979,0.12494215640906987,11.36973623322536,0.2915316982878297,0.04164738546968996,0.04164738546968996,0.2915316982878297,0.0,0.16658954187875985,0.04164738546968996,0.0,0.04164738546968996,0.0,0.0,0.0,0.0,0.0,null
10,188,77,0.5625,11.370535714285714,5.544642857142858,15.629464285714285,1.6875,23.062499999999996,0.12053571428571429,0.5625,16.794642857142858,6.428571428571428,0.7633928571428571,0.9241071428571429,1.8080357142857144,6.227678571428572,0.040178571428571425,0.4419642857142857,0.6026785714285714,0.08035714285714285,0.5223214285714286,0.12053571428571429,0.20089285714285712,0.0,1.2455357142857142,1.40625,6.468749999999999,0.0,24.22767857142857,0.6026785714285714,16.232142857142858,0.8839285714285714,5.866071428571429,0.7232142857142856,4.660714285714286,0.9241071428571429,0.6026785714285714,0.040178571428571425,1.8482142857142858,3.0535714285714284,12.133928571428571,1.2455357142857142,0.040178571428571425,3.1339285714285716,2.8125,0.08035714285714285,0.20089285714285712,40.299107142857146,0.8035714285714285,1.3660714285714286,0.12053571428571429,0.08035714285714285,7.232142857142858,7.834821428571428,0.9241071428571429,0.1607142857142857,13.700892857142856,0.12053571428571429,0.040178571428571425,0.040178571428571425,0.12053571428571429,0.0,0.6830357142857143,0.0,0.0,0.08035714285714285,0.040178571428571425,0.0,0.0,0.0,0.0,null
11,190,84,0.6832971800433839,7.760303687635575,5.0271149674620395,11.469631236442517,2.293926247288503,16.545553145336225,0.2440347071583514,0.5368763557483731,12.592190889370935,3.2212581344902387,0.8297180043383947,1.561822125813449,1.561822125813449,5.12472885032538,0.0,1.561822125813449,0.43926247288503256,0.09761388286334056,0.6832971800433839,0.0,0.09761388286334056,0.04880694143167028,0.9273318872017354,1.2201735357917571,3.611713665943601,0.0,17.668112798264644,1.2201735357917571,12.05531453362256,0.5856832971800434,5.27114967462039,0.34164859002169196,6.198481561822126,1.2201735357917571,0.7809110629067245,0.14642082429501085,2.8308026030368767,3.123644251626898,9.761388286334057,1.6106290672451193,0.0,2.635574837310195,2.1475054229934925,0.14642082429501085,0.2928416485900217,33.09110629067245,1.0737527114967462,0.7809110629067245,0.04880694143167028,0.04880694143167028,6.93058568329718,5.27114967462039,0.4880694143167028,0.14642082429501085,10.54229934924078,0.19522776572668113,0.09761388286334056,0.0,0.19522776572668113,0.0,0.04880694143167028,0.0,0.04880694143167028,0.0,0.0,0.04880694143167028,0.0,0.0,0.0,null
12,177,70,0.3985013623978202,7.694141689373297,4.230245231607629,10.728882833787466,1.80858310626703,15.26566757493188,0.12261580381471389,0.12261580381471389,11.924386920980927,3.5252043596730247,0.3678474114441417,2.912125340599455,1.1955040871934606,5.487057220708447,0.0,0.521117166212534,0.15326975476839236,0.12261580381471389,0.3985013623978202,0.061307901907356945,0.061307901907356945,0.061307901907356945,0.7663487738419619,0.8889645776566758,5.670980926430518,0.0,16.46117166212534,0.8276566757493189,11.801771117166213,0.33719346049046317,5.487057220708447,0.27588555858310626,4.0769754768392374,0.8276566757493189,0.8889645776566758,0.061307901907356945,1.7166212534059946,3.6478201634877387,9.564032697547685,0.8889645776566758,0.0,2.4523160762942777,1.8392370572207084,0.15326975476839236,0.09196185286103542,31.29768392370572,0.9809264305177111,0.4598092643051771,0.09196185286103542,0.09196185286103542,6.958446866485014,7.142370572207085,0.21457765667574932,0.15326975476839236,12.62942779291553,0.0,0.09196185286103542,0.12261580381471389,0.0,0.0,0.15326975476839236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null
13,186,81,0.38946988820771733,15.48142805625676,5.030652722683015,19.441038586368553,3.342949873782907,26.67868734222863,0.03245582401730977,0.22719076812116842,19.89542012261089,6.393797331410025,1.590335376848179,1.42805625676163,1.006130544536603,8.37360259646592,0.38946988820771733,0.7789397764154347,1.0710421925712226,0.1298232960692391,0.32455824017309776,0.0,0.09736747205192933,0.03245582401730977,0.5842048323115759,1.006130544536603,1.7850703209520375,0.0,27.13306887847097,1.006130544536603,19.66822935448972,1.3306887847097006,4.835917778579156,0.5517490082942662,5.874504147133069,0.876307248467364,0.8113956004327444,0.16227912008654888,2.3692751532636134,3.7973314100252433,16.779661016949152,1.3631446087270105,0.06491164803461955,3.7648755860079337,1.0385863685539127,0.2596465921384782,0.19473494410385866,49.72232239451857,1.006130544536603,0.7789397764154347,0.2596465921384782,0.29210241615578797,8.82798413270826,5.777136675081139,0.5517490082942662,0.0,10.613054453660295,0.6166606563288857,0.0,0.5517490082942662,0.6166606563288857,0.0,0.45438153624233685,0.0,0.0,0.03245582401730977,0.0,0.0,0.0,0.0,0.0,null
14,193,79,0.38626609442060084,8.465665236051503,4.635193133047211,12.167381974248928,2.7682403433476397,17.607296137339056,0.06437768240343347,0.3218884120171674,12.972103004291846,3.0257510729613735,0.9334763948497855,1.4163090128755365,2.0278969957081547,6.309012875536481,0.09656652360515021,0.6115879828326181,0.6759656652360515,0.1609442060085837,0.38626609442060084,0.0,0.06437768240343347,0.09656652360515021,1.3841201716738198,1.8025751072961373,4.957081545064377,0.0,18.412017167381972,0.997854077253219,12.65021459227468,0.6437768240343348,5.3111587982832615,0.48283261802575106,5.246781115879829,0.48283261802575106,1.0300429184549356,0.19313304721030042,2.092274678111588,2.9935622317596566,12.263948497854077,1.094420600858369,0.0,2.800429184549356,2.3175965665236054,0.032188841201716736,0.09656652360515021,34.73175965665236,1.1266094420600858,0.6437768240343348,0.06437768240343347,0.032188841201716736,8.433476394849786,8.079399141630901,0.3540772532188841,0.1609442060085837,13.390557939914164,0.12875536480686695,0.032188841201716736,0.06437768240343347,0.12875536480686695,0.0,0.1609442060085837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null
