nombre,url,posicion,pais,altura,peso,equipo,aerial_duels_lost,through_balls,total_clearances,ground_duels,overruns,aerial_duels_won,substitute_on,unsuccessful_dribbles,penalties_taken,touches,putthrough_blocked_distribution,successful_dribbles,right_foot_goals,goals,recoveries,tackles_won,yellow_cards,successful_short_passes,successful_passes_own_half,left_foot_goals,headed_goals,penalty_goals,penalty_goals_conceded,goal_assists,total_fouls_won,putthrough_blocked_distribution_won,offsides,total_shots,hit_woodwork,games_played,total_successful_passes_excl_crosses_corners,rightside_passes,time_played,goals_conceded,tackles_lost,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_layoffs,foul_attempted_tackle,open_play_passes,total_tackles,ground_duels_won,successful_passes_opposition_half,corners_won,times_tackled,unsuccessful_passes_own_half,goals_conceded_inside_box,handballs_conceded,successful_open_play_passes,total_losses_of_possession,forward_passes,shots_on_target_inc_goals,successful_layoffs,attempts_from_set_pieces,clean_sheets,appearances,unsuccessful_crosses_corners,unsuccessful_passes_opposition_half,unsuccessful_short_passes,blocked_shots,total_fouls_conceded,duels_won,aerial_duels,duels,total_passes,shots_off_target_inc_woodwork,duels_lost,blocks,key_passes_attempt_assists,successful_long_passes,goals_conceded_outside_box,backward_passes,assists_intentional,leftside_passes,starts,total_touches_in_opposition_box,substitute_off,ground_duels_lost,unsuccessful_crosses_open_play,goals_from_inside_box,goals_from_outside_box,index,home_goals,away_goals,winning_goal,team_games_played,foul_won_penalty,successful_crosses_open_play,successful_crosses_corners,throw_ins_to_own_player,unsuccessful_long_passes,clearances_off_the_line,interceptions,total_red_cards,unsuccessful_launches,straight_red_cards,corners_taken_incl_short_corners,unsuccessful_corners_into_box,set_pieces_goals,other_goals,successful_corners_into_box,second_goal_assists,successful_launches,red_cards_2nd_yellow,penalties_conceded,throw_ins_to_opposition_player,own_goal_scored,penalties_off_target,last_player_tackle,gk_successful_distribution,goal_kicks,gk_unsuccessful_distribution,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made,saves_from_penalty,saves_made_caught,drops,penalties_saved,goalkeeper_smother,punches,saves_made_parried,catches,crosses_not_claimed
SHERALDO BECKER,https://www.laliga.com//es-GB/jugador/sheraldo-becker,Centrocampista,SR,180,70,Real Sociedad,12.0,,,31.0,1.0,5.0,7.0,3.0,,313.0,20.0,4.0,2.0,2.0,27.0,2.0,1.0,145.0,39.0,,,,,2.0,5.0,3.0,6.0,17.0,,15.0,148.0,43.0,772.0,5.0,,47.0,,7.0,191.0,2.0,11.0,114.0,20.0,8.0,9.0,4.0,,144.0,113.0,25.0,10.0,8.0,,,15.0,41.0,79.0,44.0,4.0,11.0,16.0,17.0,48.0,195.0,7.0,32.0,,6.0,3.0,1.0,86.0,2.0,41.0,8.0,43.0,8.0,20.0,40.0,2.0,,58.0,2.0,0.0,0.0,38,,5.0,5.0,1.0,3.0,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YERSON MOSQUERA,https://www.laliga.com//es-GB/jugador/yerson-mosquera,Defensa,CO,187,76,Villarreal CF,10.0,1.0,59.0,79.0,2.0,28.0,2.0,4.0,,930.0,23.0,4.0,1.0,2.0,72.0,13.0,4.0,574.0,458.0,,1.0,,2.0,1.0,27.0,10.0,,10.0,,16.0,600.0,222.0,1228.0,17.0,14.0,98.0,,11.0,652.0,27.0,56.0,146.0,1.0,8.0,46.0,17.0,,555.0,121.0,250.0,4.0,,,3.0,16.0,3.0,55.0,49.0,,14.0,84.0,38.0,117.0,698.0,6.0,33.0,2.0,4.0,26.0,,50.0,1.0,176.0,14.0,23.0,1.0,23.0,3.0,2.0,,58.0,2.0,0.0,0.0,38,,4.0,4.0,24.0,49.0,,17.0,,30.0,,,,,,,,2.0,,,4.0,,,,16.0,16.0,,,,,,,,,,,,,,
FACUNDO PELLISTRI,https://www.laliga.com//es-GB/jugador/facundo-pellistri,Delantero,UY,175,69,Granada CF,22.0,1.0,4.0,133.0,2.0,9.0,1.0,14.0,,518.0,41.0,12.0,2.0,2.0,57.0,19.0,,195.0,61.0,,,,1.0,1.0,21.0,18.0,5.0,10.0,,15.0,198.0,20.0,1220.0,30.0,10.0,64.0,,15.0,258.0,29.0,62.0,143.0,17.0,34.0,11.0,28.0,,194.0,170.0,56.0,6.0,3.0,,1.0,15.0,24.0,77.0,60.0,7.0,22.0,71.0,31.0,164.0,262.0,4.0,93.0,,17.0,3.0,2.0,79.0,1.0,107.0,14.0,55.0,7.0,71.0,23.0,2.0,,43.0,1.0,1.0,1.0,38,1.0,6.0,6.0,9.0,4.0,,4.0,1.0,3.0,,4.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
CHIMY ÁVILA,https://www.laliga.com//es-GB/jugador/chimy-avila,Delantero,AR,172,81,Real Betis,5.0,,4.0,25.0,,4.0,2.0,1.0,,141.0,8.0,2.0,,1.0,9.0,1.0,2.0,49.0,18.0,1.0,,,,,12.0,2.0,,7.0,,6.0,55.0,27.0,301.0,7.0,1.0,23.0,,3.0,77.0,2.0,16.0,37.0,4.0,4.0,2.0,7.0,,54.0,45.0,20.0,3.0,2.0,,,6.0,12.0,33.0,22.0,2.0,3.0,20.0,9.0,34.0,78.0,4.0,14.0,,2.0,6.0,,23.0,,8.0,4.0,10.0,4.0,9.0,12.0,1.0,,10.0,,,,38,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
JONATHAN VIERA,https://www.laliga.com//es-GB/jugador/jonathan-viera,Delantero,ES,171,66,UD Almería,6.0,5.0,1.0,82.0,3.0,3.0,,10.0,,665.0,12.0,9.0,,,36.0,9.0,1.0,451.0,210.0,,,,,3.0,16.0,4.0,4.0,9.0,,12.0,463.0,135.0,922.0,18.0,10.0,70.0,,8.0,510.0,19.0,44.0,254.0,5.0,19.0,13.0,17.0,,444.0,116.0,128.0,5.0,23.0,1.0,,12.0,5.0,62.0,57.0,3.0,10.0,47.0,9.0,91.0,533.0,4.0,44.0,,24.0,12.0,1.0,155.0,3.0,115.0,12.0,21.0,9.0,38.0,1.0,,,10.0,,,,38,,1.0,1.0,4.0,13.0,,4.0,1.0,2.0,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
MARCOS ACUÑA,https://www.laliga.com//es-GB/jugador/acuna-1,Defensa,AR,172,69,Sevilla FC,11.0,1.0,21.0,106.0,3.0,14.0,3.0,8.0,,1039.0,26.0,10.0,,1.0,99.0,21.0,7.0,464.0,267.0,,1.0,,1.0,2.0,17.0,10.0,1.0,8.0,,21.0,511.0,227.0,1296.0,21.0,12.0,130.0,,15.0,621.0,33.0,59.0,275.0,10.0,24.0,40.0,19.0,,497.0,266.0,273.0,4.0,3.0,,2.0,21.0,51.0,141.0,89.0,1.0,18.0,73.0,25.0,131.0,641.0,4.0,58.0,2.0,22.0,47.0,2.0,108.0,1.0,33.0,18.0,10.0,13.0,47.0,35.0,1.0,,34.0,1.0,0.0,1.0,38,,16.0,31.0,86.0,41.0,,4.0,,18.0,,19.0,8.0,,,11.0,1.0,3.0,,,36.0,,,1.0,,,,,,,,,,,,,,,,
JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,https://www.laliga.com//es-GB/jugador/suso,Delantero,ES,177,70,Sevilla FC,9.0,2.0,3.0,161.0,2.0,8.0,14.0,16.0,,1152.0,38.0,27.0,,1.0,88.0,17.0,5.0,592.0,197.0,1.0,,,3.0,4.0,35.0,9.0,3.0,17.0,1.0,29.0,645.0,136.0,1514.0,35.0,7.0,111.0,,12.0,729.0,24.0,86.0,492.0,10.0,38.0,32.0,30.0,4.0,624.0,282.0,224.0,6.0,9.0,1.0,,29.0,88.0,167.0,93.0,9.0,22.0,94.0,17.0,178.0,756.0,11.0,84.0,,38.0,53.0,5.0,173.0,4.0,223.0,15.0,30.0,8.0,75.0,53.0,,1.0,38.0,1.0,0.0,0.0,38,,15.0,44.0,13.0,18.0,,5.0,1.0,3.0,1.0,50.0,24.0,,,20.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
DJIBRIL SOW,https://www.laliga.com//es-GB/jugador/djibril-sow,Centrocampista,CH,183,76,Sevilla FC,18.0,,6.0,101.0,,15.0,6.0,2.0,,874.0,31.0,7.0,1.0,1.0,73.0,21.0,5.0,558.0,288.0,,,,1.0,1.0,19.0,17.0,2.0,10.0,,24.0,579.0,166.0,1469.0,21.0,7.0,96.0,,25.0,660.0,28.0,53.0,294.0,6.0,5.0,24.0,19.0,,564.0,128.0,152.0,5.0,5.0,,,24.0,2.0,74.0,77.0,8.0,27.0,68.0,33.0,134.0,675.0,5.0,66.0,3.0,14.0,21.0,2.0,141.0,,216.0,18.0,33.0,15.0,48.0,1.0,,1.0,83.0,1.0,0.0,0.0,38,,3.0,3.0,1.0,19.0,,17.0,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEMANJA GUDELJ,https://www.laliga.com//es-GB/jugador/gudelj,Centrocampista,RS,187,79,Sevilla FC,21.0,1.0,55.0,96.0,1.0,41.0,2.0,2.0,,1276.0,20.0,4.0,1.0,1.0,85.0,24.0,7.0,867.0,568.0,,,,3.0,1.0,11.0,8.0,,13.0,1.0,22.0,909.0,283.0,1744.0,24.0,7.0,142.0,,19.0,1008.0,31.0,46.0,343.0,4.0,6.0,55.0,22.0,,869.0,163.0,381.0,3.0,2.0,4.0,4.0,22.0,1.0,88.0,88.0,6.0,30.0,87.0,62.0,158.0,1051.0,10.0,71.0,9.0,6.0,42.0,2.0,86.0,1.0,301.0,20.0,8.0,4.0,50.0,1.0,1.0,,32.0,1.0,0.0,0.0,38,,2.0,2.0,3.0,54.0,,27.0,,31.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
MARKO MILOVANOVIC,https://www.laliga.com//es-GB/jugador/marko-milovanovic,Delantero,RS,196,85,UD Almería,23.0,,3.0,31.0,,14.0,9.0,2.0,,112.0,4.0,1.0,,1.0,9.0,4.0,,43.0,21.0,,1.0,,1.0,,6.0,2.0,4.0,5.0,1.0,11.0,43.0,15.0,301.0,7.0,,24.0,4.0,13.0,63.0,4.0,10.0,22.0,1.0,6.0,7.0,6.0,2.0,39.0,37.0,19.0,1.0,5.0,,,11.0,1.0,18.0,22.0,,15.0,24.0,37.0,68.0,67.0,4.0,44.0,,2.0,,1.0,27.0,,6.0,2.0,16.0,2.0,21.0,1.0,1.0,,85.0,1.0,0.0,0.0,38,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
